age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
32,5,1,7,1,1,1,1,2,5,565,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
41,2,1,5,1,2,2,1,5,5,982,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
32,2,1,3,1,2,1,1,6,5,188,2,999,0,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1
37,2,1,5,1,1,1,1,2,2,56,3,999,0,1,1.4,93.918,-42.7,4.968,5228.1,1
38,2,2,3,1,1,1,1,2,3,419,8,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
35,2,1,3,1,1,1,2,2,3,78,4,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
42,8,1,2,1,2,1,2,6,4,378,1,999,0,1,1.1,93.994,-36.4,4.859,5191.0,1
42,2,3,3,1,1,1,2,6,2,236,3,999,0,1,1.1,93.994,-36.4,4.86,5191.0,1
34,6,1,5,1,1,1,2,7,2,511,1,999,0,1,1.4,94.465,-41.8,4.8660000000000005,5228.1,1
45,7,1,3,1,2,1,1,4,4,359,1,999,0,1,-3.4,92.649,-30.1,0.715,5017.5,1
37,2,3,5,1,1,1,2,6,3,165,3,999,0,1,1.1,93.994,-36.4,4.856,5191.0,1
31,8,3,5,1,1,1,1,6,4,465,1,999,1,3,-1.8,92.893,-46.2,1.334,5099.1,1
35,6,1,5,1,2,1,1,2,3,110,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
56,11,1,4,1,2,1,1,3,4,102,1,999,0,1,1.4,93.444,-36.1,4.967,5228.1,1
39,7,3,5,1,2,1,1,6,1,642,1,999,0,1,-1.8,92.893,-46.2,1.25,5099.1,1
26,2,3,3,1,1,1,2,3,5,1087,1,3,1,2,-1.7,94.027,-38.3,0.904,4991.6,2
50,1,1,2,1,1,1,1,3,2,74,4,999,0,1,1.4,93.444,-36.1,4.962,5228.1,1
34,2,1,3,1,1,1,1,3,2,55,1,999,0,1,1.4,93.444,-36.1,4.964,5228.1,1
33,7,1,7,1,2,1,2,7,1,350,1,999,0,1,1.4,94.465,-41.8,4.967,5228.1,1
31,5,3,3,1,1,1,2,4,2,96,5,999,0,1,-0.1,93.2,-42.0,4.0760000000000005,5195.8,1
32,5,3,3,1,1,1,1,3,2,159,1,999,0,1,1.4,93.444,-36.1,4.962,5228.1,1
35,8,1,7,1,2,1,1,6,2,1262,3,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,2
37,9,1,4,1,2,1,1,3,3,176,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
47,7,2,3,1,1,1,1,6,1,306,3,999,1,3,-1.8,92.893,-46.2,1.25,5099.1,1
42,2,2,3,1,1,1,2,6,3,305,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
55,2,1,3,1,2,2,2,6,4,232,2,999,0,1,1.1,93.994,-36.4,4.8580000000000005,5191.0,1
42,4,1,3,1,2,1,1,5,3,216,1,999,1,3,-1.8,93.075,-47.1,1.423,5099.1,2
53,2,3,7,1,1,1,2,6,5,179,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
58,5,2,3,1,2,1,1,4,4,168,1,999,0,1,-0.1,93.2,-42.0,4.12,5195.8,1
55,6,2,5,1,1,1,1,2,2,539,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
36,8,1,2,1,1,1,1,6,2,147,1,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,1
35,2,3,5,1,1,1,1,6,4,152,2,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
45,8,1,1,1,2,1,1,6,5,295,1,999,0,1,-1.8,92.893,-46.2,1.2990000000000002,5099.1,1
35,8,2,2,1,2,1,1,2,3,130,1,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
57,4,1,3,1,1,1,1,2,5,83,4,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
27,8,3,3,1,1,1,1,7,4,722,2,999,0,1,-1.7,94.055,-39.8,0.715,4991.6,1
31,2,3,5,1,2,2,1,5,2,398,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
42,5,1,3,1,1,1,1,3,3,217,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
43,6,1,5,1,1,1,2,6,4,297,1,999,0,1,1.1,93.994,-36.4,4.857,5191.0,1
53,8,1,4,1,2,1,1,4,5,228,4,999,0,1,-0.1,93.2,-42.0,4.191,5195.8,1
